Enter purchase price of home in USD: Enter loan term in years: Enter down payment percentage: 
Loan amount: $150,000.00
Loan type: 15-Year Fixed, 90.1-100% LTV at 6.775% APR
Monthly Payment = $1329.44
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
   #            ($)                 ($)                  ($)             ($)   
==============================================================================
   0                                                150,000.00
   1           846.88              482.57           149,517.43          128.75
   2           844.15              485.29           149,032.14          128.75
   3           841.41              488.03           148,544.10          128.75
   4           838.66              490.79           148,053.31          128.75
   5           835.88              493.56           147,559.75          128.75
   6           833.10              496.35           147,063.41          128.75
   7           830.30              499.15           146,564.26          128.75
   8           827.48              501.97           146,062.29          128.75
   9           824.64              504.80           145,557.49          128.75
  10           821.79              507.65           145,049.84          128.75
  11           818.93              510.52           144,539.32          128.75
  12           816.04              513.40           144,025.93          128.75
  13           813.15              516.30           143,509.63          128.75
  14           810.23              519.21           142,990.41          128.75
  15           807.30              522.14           142,468.27          128.75
  16           804.35              525.09           141,943.18          128.75
  17           801.39              528.06           141,415.12          128.75
  18           798.41              531.04           140,884.08          128.75
  19           795.41              534.04           140,350.05          128.75
  20           792.39              537.05           139,813.00          128.75
  21           789.36              540.08           139,272.91          128.75
  22           786.31              543.13           138,729.78          128.75
  23           783.25              546.20           138,183.58          128.75
  24           780.16              549.28           137,634.30          128.75
  25           777.06              552.38           137,081.92          128.75
  26           773.94              555.50           136,526.41          128.75
  27           770.81              558.64           135,967.77          128.75
  28           767.65              561.79           135,405.98          128.75
  29           764.48              564.96           134,841.02          128.75
  30           761.29              568.15           134,272.86          128.75
  31           758.08              571.36           133,701.50          128.75
  32           754.86              574.59           133,126.91          128.75
  33           751.61              577.83           132,549.08          128.75
  34           748.35              581.09           131,967.99          128.75
  35           745.07              584.37           131,383.61          128.75
  36           741.77              587.67           130,795.94          128.75
  37           738.45              590.99           130,204.95          128.75
  38           735.12              594.33           129,610.62          128.75
  39           731.76              597.68           129,012.93          128.75
  40           728.39              601.06           128,411.87          128.75
  41           724.99              604.45           127,807.42          128.75
  42           721.58              607.86           127,199.56          128.75
  43           718.15              611.30           126,588.26          128.75
  44           714.70              614.75           125,973.51          128.75
  45           711.23              618.22           125,355.29          128.75
  46           707.74              621.71           124,733.59          128.75
  47           704.23              625.22           124,108.37          128.75
  48           700.70              628.75           123,479.62          128.75
  49           697.15              632.30           122,847.32          128.75
  50           693.58              635.87           122,211.45          128.75
  51           689.99              639.46           121,571.99          128.75
  52           686.38              643.07           120,928.92          128.75
  53           682.74              646.70           120,282.22          128.75
  54           679.09              650.35           119,631.87          128.75
  55           675.42              654.02           118,977.85            0.00
  56           671.73              657.72           118,320.13            0.00
  57           668.02              661.43           117,658.71            0.00
  58           664.28              665.16           116,993.54            0.00
  59           660.53              668.92           116,324.62            0.00
  60           656.75              672.69           115,651.93            0.00
  61           652.95              676.49           114,975.44            0.00
  62           649.13              680.31           114,295.13            0.00
  63           645.29              684.15           113,610.97            0.00
  64           641.43              688.02           112,922.96            0.00
  65           637.54              691.90           112,231.06            0.00
  66           633.64              695.81           111,535.25            0.00
  67           629.71              699.73           110,835.52            0.00
  68           625.76              703.69           110,131.83            0.00
