Enter purchase price of home in USD: Enter loan term in years: Invalid term length. Must be 10, 15, 20, or 30 years.
Enter loan term in years: Enter down payment percentage: Invalid down payment percentage.               Please input a valid percentage
Enter down payment percentage: 
Loan amount: $179,910.00
Loan type: 30-Year Fixed, 90% or less LTV at 7.000% APR
Monthly Payment = $1196.95
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
   #            ($)                 ($)                  ($)             ($)   
==============================================================================
   0                                                179,910.00
   1         1,049.48              147.47           179,762.53          101.20
   2         1,048.61              148.33           179,614.20          101.20
   3         1,047.75              149.20           179,465.00          101.20
   4         1,046.88              150.07           179,314.94          101.20
   5         1,046.00              150.94           179,163.99          101.20
   6         1,045.12              151.82           179,012.17          101.20
   7         1,044.24              152.71           178,859.46          101.20
   8         1,043.35              153.60           178,705.86          101.20
   9         1,042.45              154.49           178,551.37          101.20
  10         1,041.55              155.40           178,395.97          101.20
  11         1,040.64              156.30           178,239.67          101.20
  12         1,039.73              157.21           178,082.46          101.20
  13         1,038.81              158.13           177,924.33          101.20
  14         1,037.89              159.05           177,765.27          101.20
  15         1,036.96              159.98           177,605.29          101.20
  16         1,036.03              160.91           177,444.37          101.20
  17         1,035.09              161.85           177,282.52          101.20
  18         1,034.15              162.80           177,119.72          101.20
  19         1,033.20              163.75           176,955.98          101.20
  20         1,032.24              164.70           176,791.27          101.20
  21         1,031.28              165.66           176,625.61          101.20
  22         1,030.32              166.63           176,458.98          101.20
  23         1,029.34              167.60           176,291.38          101.20
  24         1,028.37              168.58           176,122.80          101.20
  25         1,027.38              169.56           175,953.24          101.20
  26         1,026.39              170.55           175,782.69          101.20
  27         1,025.40              171.55           175,611.14          101.20
  28         1,024.40              172.55           175,438.59          101.20
  29         1,023.39              173.55           175,265.04          101.20
  30         1,022.38              174.57           175,090.47          101.20
  31         1,021.36              175.58           174,914.89          101.20
  32         1,020.34              176.61           174,738.28          101.20
  33         1,019.31              177.64           174,560.64          101.20
  34         1,018.27              178.68           174,381.96          101.20
  35         1,017.23              179.72           174,202.25          101.20
  36         1,016.18              180.77           174,021.48          101.20
  37         1,015.13              181.82           173,839.66          101.20
  38         1,014.06              182.88           173,656.78          101.20
  39         1,013.00              183.95           173,472.83          101.20
  40         1,011.92              185.02           173,287.81          101.20
  41         1,010.85              186.10           173,101.71          101.20
  42         1,009.76              187.19           172,914.52          101.20
  43         1,008.67              188.28           172,726.25          101.20
  44         1,007.57              189.38           172,536.87          101.20
  45         1,006.47              190.48           172,346.39          101.20
  46         1,005.35              191.59           172,154.80          101.20
  47         1,004.24              192.71           171,962.09          101.20
  48         1,003.11              193.83           171,768.25          101.20
  49         1,001.98              194.96           171,573.29          101.20
  50         1,000.84              196.10           171,377.19          101.20
  51           999.70              197.25           171,179.94          101.20
  52           998.55              198.40           170,981.55          101.20
  53           997.39              199.55           170,781.99          101.20
  54           996.23              200.72           170,581.28          101.20
  55           995.06              201.89           170,379.39          101.20
  56           993.88              203.07           170,176.32          101.20
  57           992.70              204.25           169,972.07          101.20
  58           991.50              205.44           169,766.63          101.20
  59           990.31              206.64           169,559.99          101.20
  60           989.10              207.85           169,352.14          101.20
