Enter the purchase price of your home: $400000.00
Enter the term of the loan in years: 20
Enter your down payment percentage: 25.0

Loan amount: $300,000.00
Loan type: 20-Year Fixed, 90% or less LTV at 6.825% APR
Monthly Payment = $2294.49
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
   #            ($)                 ($)                  ($)             ($)   
==============================================================================
   0                                                300,000.00
   1         1,706.25              588.24           299,411.76            0.00
   2         1,702.90              591.58           298,820.18            0.00
   3         1,699.54              594.95           298,225.23            0.00
   4         1,696.16              598.33           297,626.90            0.00
   5         1,692.75              601.74           297,025.16            0.00
   6         1,689.33              605.16           296,420.00            0.00
   7         1,685.89              608.60           295,811.40            0.00
   8         1,682.43              612.06           295,199.34            0.00
   9         1,678.95              615.54           294,583.80            0.00
  10         1,675.45              619.04           293,964.76            0.00
  11         1,671.92              622.56           293,342.19            0.00
  12         1,668.38              626.10           292,716.09            0.00
  13         1,664.82              629.67           292,086.42            0.00
  14         1,661.24              633.25           291,453.18            0.00
  15         1,657.64              636.85           290,816.33            0.00
  16         1,654.02              640.47           290,175.86            0.00
  17         1,650.38              644.11           289,531.75            0.00
  18         1,646.71              647.78           288,883.97            0.00
  19         1,643.03              651.46           288,232.51            0.00
  20         1,639.32              655.17           287,577.34            0.00
  21         1,635.60              658.89           286,918.45            0.00
  22         1,631.85              662.64           286,255.81            0.00
  23         1,628.08              666.41           285,589.40            0.00
  24         1,624.29              670.20           284,919.20            0.00
  25         1,620.48              674.01           284,245.19            0.00
  26         1,616.64              677.84           283,567.35            0.00
  27         1,612.79              681.70           282,885.65            0.00
  28         1,608.91              685.58           282,200.07            0.00
  29         1,605.01              689.48           281,510.60            0.00
  30         1,601.09              693.40           280,817.20            0.00
  31         1,597.15              697.34           280,119.86            0.00
  32         1,593.18              701.31           279,418.55            0.00
  33         1,589.19              705.30           278,713.26            0.00
  34         1,585.18              709.31           278,003.95            0.00
  35         1,581.15              713.34           277,290.61            0.00
  36         1,577.09              717.40           276,573.21            0.00
  37         1,573.01              721.48           275,851.74            0.00
  38         1,568.91              725.58           275,126.15            0.00
  39         1,564.78              729.71           274,396.45            0.00
  40         1,560.63              733.86           273,662.59            0.00
  41         1,556.46              738.03           272,924.55            0.00
  42         1,552.26              742.23           272,182.32            0.00
  43         1,548.04              746.45           271,435.87            0.00
  44         1,543.79              750.70           270,685.18            0.00
  45         1,539.52              754.97           269,930.21            0.00
  46         1,535.23              759.26           269,170.95            0.00
  47         1,530.91              763.58           268,407.37            0.00
  48         1,526.57              767.92           267,639.45            0.00
  49         1,522.20              772.29           266,867.16            0.00
  50         1,517.81              776.68           266,090.48            0.00
  51         1,513.39              781.10           265,309.38            0.00
  52         1,508.95              785.54           264,523.84            0.00
  53         1,504.48              790.01           263,733.83            0.00
  54         1,499.99              794.50           262,939.33            0.00
  55         1,495.47              799.02           262,140.31            0.00
  56         1,490.92              803.57           261,336.74            0.00
  57         1,486.35              808.14           260,528.61            0.00
  58         1,481.76              812.73           259,715.87            0.00
  59         1,477.13              817.35           258,898.52            0.00
  60         1,472.49              822.00           258,076.52            0.00
  61         1,467.81              826.68           257,249.84            0.00
